Year,Month,Production
2002,Jan,2108
2002,Feb,2375
2002,Mar,1037
2002,Apr,2664
2002,May,5761
2002,Jun,6196
2002,Jul,6817
2002,Aug,4095
2002,Sep,1772
2002,Oct,3195
2002,Nov,3186
2002,Dec,3581
2003,Jan,3491
2003,Feb,3103
2003,Mar,4142
2003,Apr,6330
2003,May,8525
2003,Jun,6424
2003,Jul,6721
2003,Aug,2282
2003,Sep,3882
2003,Oct,1255
2003,Nov,2823
2003,Dec,1797
2004,Jan,1842
2004,Feb,2087
2004,Mar,1571
2004,Apr,3329
2004,May,1881
2004,Jun,2770
2004,Jul,4569
2004,Aug,2288
2004,Sep,1625
2004,Oct,2608
2004,Nov,2621
2004,Dec,2258
2005,Jan,3201
2005,Feb,2421
2005,Mar,3129
2005,Apr,3432
2005,May,2141
2005,Jun,4474
2005,Jul,1850
2005,Aug,2700
2005,Sep,1529
2005,Oct,341
2005,Nov,921
2005,Dec,1915
2006,Jan,993
2006,Feb,2124
2006,Mar,3153
2006,Apr,3360
2006,May,6780
2006,Jun,3868
2006,Jul,4128
2006,Aug,3195
2006,Sep,2384
2006,Oct,610
2006,Nov,571
2006,Dec,800
2007,Jan,321
2007,Feb,545
2007,Mar,650
2007,Apr,1371
2007,May,2122
2007,Jun,0
2007,Jul,1042
2007,Aug,4129
2007,Sep,664
2007,Oct,1761
2007,Nov,2969
2007,Dec,3943
2008,Jan,4462
2008,Feb,3147
2008,Mar,8236
2008,Apr,8351
2008,May,11289
2008,Jun,10816
2008,Jul,11348
2008,Aug,8189
2008,Sep,7362
2008,Oct,3648
2008,Nov,3788
2008,Dec,3029
2009,Jan,4173
2009,Feb,3733
2009,Mar,5190
2009,Apr,7167
2009,May,9960
2009,Jun,9895
2009,Jul,8835
2009,Aug,5881
2009,Sep,3001
2009,Oct,3591
2009,Nov,2899
2009,Dec,4278
2010,Jan,1483
2010,Feb,4977
2010,Mar,4965
2010,Apr,8454
2010,May,10660
2010,Jun,11878
2010,Jul,11146
2010,Aug,7052
2010,Sep,4682
2010,Oct,3134
2010,Nov,2700
2010,Dec,2896
2011,Jan,2286
2011,Feb,2438
2011,Mar,3518
2011,Apr,2961
2011,May,6542
2011,Jun,9242
2011,Jul,9323
2011,Aug,7678
2011,Sep,6472
2011,Oct,3387
2011,Nov,3337
2011,Dec,5013
2012,Jan,2709
2012,Feb,2889
2012,Mar,3107
2012,Apr,4264
2012,May,6538
2012,Jun,15613
2012,Jul,9840
2012,Aug,6278
2012,Sep,4816
2012,Oct,3082
2012,Nov,3142
2012,Dec,2551
2013,Jan,3803
2013,Feb,3438
2013,Mar,3829
2013,Apr,5483
2013,May,8986
2013,Jun,8014
2013,Jul,7473
2013,Aug,4796
2013,Sep,3313
2013,Oct,3479
2013,Nov,3594
2013,Dec,2842
2014,Jan,2822
2014,Feb,2710
2014,Mar,4073
2014,Apr,3928
2014,May,7631
2014,Jun,10403
2014,Jul,8640
2014,Aug,6118
2014,Sep,3460
2014,Oct,2342
2014,Nov,2531
2014,Dec,2201
2015,Jan,2730
2015,Feb,2993
2015,Mar,3540
2015,Apr,4919
2015,May,8504
2015,Jun,11030
2015,Jul,6883
2015,Aug,5965
2015,Sep,4813
2015,Oct,3113
2015,Nov,2724
2015,Dec,2415
2016,Jan,2807
2016,Feb,3424
2016,Mar,3938
2016,Apr,6576
2016,May,9408
2016,Jun,8169
2016,Jul,5527
2016,Aug,4764
2016,Sep,3824
2016,Oct,3823
2016,Nov,4083
2016,Dec,3820
2017,Jan,3515
2017,Feb,4064
2017,Mar,4820
2017,Apr,877
2017,May,10703
2017,Jun,10689
2017,Jul,7202
2017,Aug,5737
2017,Sep,5316
2017,Oct,4123
2017,Nov,3661
2017,Dec,3573
2018,Jan,3401
2018,Feb,3972
2018,Mar,3384
2018,Apr,5252
2018,May,10792
2018,Jun,18479
2018,Jul,6545
2018,Aug,4927
2018,Sep,3221
2018,Oct,2851
2018,Nov,1240
2018,Dec,1406
2019,Jan,2723
2019,Feb,2788
2019,Mar,3859
2019,Apr,4962
2019,May,7895
2019,Jun,6384
2019,Jul,5434
2019,Aug,4461
2019,Sep,3647
2019,Oct,2831
2019,Nov,3493
2019,Dec,2632
2020,Jan,3071
2020,Feb,4053
2020,Mar,1585
2020,Apr,0
2020,May,0
2020,Jun,0
2020,Jul,0
2020,Aug,0
2020,Sep,0
2020,Oct,0
2020,Nov,0
2020,Dec,0
2021,Jan,2195
2021,Feb,2744
2021,Mar,3444
2021,Apr,2020
2021,May,0
2021,Jun,0
2021,Jul,7381
2021,Aug,3731
2021,Sep,162
2021,Oct,0
2021,Nov,0
2021,Dec,0
